mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	2.0	-3	4/4	1/2	1/2		1			firstMeasure					2
2	1	2	4.0	-3	4/4	1	0										3
3	2	6	4.0	-3	4/4	1	0										4
4	3	10	4.0	-3	4/4	1	0										5
5	4	14	4.0	-3	4/4	1	0										6
6	5	18	4.0	-3	4/4	1	0				line						7
7	6	22	4.0	-3	4/4	1	0										8
8	7	26	4.0	-3	4/4	1	0										9
9	8	30	4.0	-3	4/4	1	0										10
10	9	34	4.0	-3	4/4	1	0										11
11	10	38	2.0	-3	4/4	1/2	0					end					1, 12
12	10	40	2.0	-3	4/4	1/2	1/2		1			start					13
13	11	42	4.0	-3	4/4	1	0										14
14	12	46	4.0	-3	4/4	1	0				line						15
15	13	50	4.0	-3	4/4	1	0										16
16	14	54	4.0	-3	4/4	1	0										17
17	15	58	4.0	-3	4/4	1	0										18
18	16	62	4.0	-3	4/4	1	0										19
19	17	66	4.0	-3	4/4	1	0										20
20	18	70	4.0	-3	4/4	1	0										21
21	19	74	4.0	-3	4/4	1	0				line						22
22	20	78	4.0	-3	4/4	1	0										23
23	21	82	4.0	-3	4/4	1	0										24
24	22	86	4.0	-3	4/4	1	0										25
25	23	90	4.0	-3	4/4	1	0										26
26	24	94	4.0	-3	4/4	1	0										27
27	25	98	4.0	-3	4/4	1	0										28
28	26	102	4.0	-3	4/4	1	0				line						29
29	27	106	4.0	-3	4/4	1	0										30
30	28	110	4.0	-3	4/4	1	0										31
31	29	114	4.0	-3	4/4	1	0										32
32	30	118	4.0	-3	4/4	1	0										33
33	31	122	4.0	-3	4/4	1	0										34
34	32	126	2.0	-3	4/4	1/2	0					end	fine				12, -1
