mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	0	1.5	-2	6/8	3/8	3/8			1			firstMeasure					2
2	1	3/2	3/2	3.0	-2	6/8	3/4	0											3
3	2	9/2	9/2	3.0	-2	6/8	3/4	0											4
4	3	15/2	15/2	3.0	-2	6/8	3/4	0											5
5	4	21/2	21/2	3.0	-2	6/8	3/4	0											6
6	5	27/2	27/2	3.0	-2	6/8	3/4	0											7
7	6	33/2	33/2	3.0	-2	6/8	3/4	0					line						8
8	7	39/2	39/2	3.0	-2	6/8	3/4	0											9
9	8	45/2	45/2	3.0	-2	6/8	3/4	0											10
10	9	51/2	51/2	3.0	-2	6/8	3/4	0											11
11	10	57/2	57/2	3.0	-2	6/8	3/4	0											12
12	11	63/2	63/2	3.0	-2	6/8	3/4	0											13
13	12	69/2	69/2	3.0	-2	6/8	3/4	0											14
14	13	75/2	75/2	3.0	-2	6/8	3/4	0											15, 16
15	14		81/2	1.5	-2	6/8	3/8	0	1				line	end					1
16	14	81/2	42	3.0	-2	6/8	3/4	0	2		1								17
17	15	87/2	45	3.0	-2	6/8	3/4	0						start	segno				18
18	16	93/2	48	3.0	-2	6/8	3/4	0											19
19	17	99/2	51	3.0	-2	6/8	3/4	0											20
20	18	105/2	54	3.0	-2	6/8	3/4	0											21
21	19	111/2	57	3.0	-2	6/8	3/4	0											22
22	20	117/2	60	3.0	-2	6/8	3/4	0											23
23	21	123/2	63	3.0	-2	6/8	3/4	0											24
24	22	129/2	66	3.0	-2	6/8	3/4	0											25
25	23	135/2	69	3.0	-2	6/8	3/4	0											26
26	24	141/2	72	3.0	-2	6/8	3/4	0											27
27	25	147/2	75	3.0	-2	6/8	3/4	0											28
28	26	153/2	78	3.0	-2	6/8	3/4	0											29
29	27	159/2	81	3.0	-2	6/8	3/4	0											30
30	28	165/2	84	3.0	-2	6/8	3/4	0											31
31	29	171/2	87	3.0	-2	6/8	3/4	0											32
32	30	177/2	90	3.0	-2	6/8	3/4	0											33
33	31	183/2	93	3.0	-2	6/8	3/4	0											34
34	32	189/2	96	3.0	-2	6/8	3/4	0											35
35	33	195/2	99	3.0	-2	6/8	3/4	0											36
36	34	201/2	102	3.0	-2	6/8	3/4	0											37
37	35	207/2	105	3.0	-2	6/8	3/4	0											38
38	36	213/2	108	3.0	-2	6/8	3/4	0											39
39	37	219/2	111	3.0	-2	6/8	3/4	0											40
40	38	225/2	114	3.0	-2	6/8	3/4	0											41
41	39	231/2	117	3.0	-2	6/8	3/4	0											42
42	40	237/2	120	3.0	-2	6/8	3/4	0											43
43	41	243/2	123	3.0	-2	6/8	3/4	0											44
44	42	249/2	126	3.0	-2	6/8	3/4	0											45, 46
45	43		129	3.0	-2	6/8	3/4	0	1					end	segno				17
46	43	255/2	132	3.0	-2	6/8	3/4	0	2		1	end		lastMeasure					-1
